type,title_or_caption,description,url_or_category,year,placeholder
video,hBaja 2024 — Competition Highlights,Full event highlights from our AIR 1 run at SAEINDIA hBaja 2024.,https://www.instagram.com/tarusamotorsport/,,
video,2025 Build Teaser,First look at our new hydrogen buggy build in progress.,https://www.instagram.com/tarusamotorsport/,,
press,Placeholder — Add press coverage article title here,,#,YYYY,
press,Placeholder — Add another press coverage article,,#,YYYY,
gallery,Workshop build session,,Build,2025,🔧
gallery,Chassis fabrication underway,,Build,2025,⚙️
gallery,Suspension assembly,,Build,2025,🔩
gallery,Wiring harness installation,,Build,2025,⚡
gallery,Hydrogen system integration,,Build,2024,⚗️
gallery,Paint and livery,,Build,2024,🎨
gallery,hBaja 2024 — Competition day,,Competition,2024,🏁
gallery,Scrutineering pass,,Competition,2024,✅
gallery,Off-road endurance run,,Competition,2024,🚗
gallery,AIR 1 celebration,,Competition,2024,🏆
gallery,Design presentation to judges,,Competition,2024,📐
gallery,Team at the starting line,,Competition,2022,🏎️
gallery,Team photo 2025,,Team,2025,👥
gallery,Workshop team moment,,Team,2024,🤝
gallery,Late night build session,,Team,2024,🌙
gallery,Team 2022 debut,,Team,2022,🎉
